ID;ACTIVIDAD;OPERACION;TIPO_EQUIPO;MARCA;MODELO;ANTIG_c;ANO;ANTIG;VELOC_prom;DIESEL_lts;EURO_lts;TOTAL_lts;KM;CONSUMO;CORRECTIVO_usd;CORRECTIVO_cant;PREVENTIVO_usd;PREVENTIVO_cant;HS_encendido;HS_ralenti;DIAS_svs
CAM0160;DISTRIBUCION;OP0003;Chasis;MERCEDES BENZ;ATEGO 1418;2-MEDIO;2012;10;14.87;1086.48;3305.7;4392.18;13140.99;33.42;551.68;2;1080.49;12;1171.32;627.61;292
CAM0161;DISTRIBUCION;OP0003;Chasis;MERCEDES BENZ;ATEGO 1418;2-MEDIO;2012;10;17.17;673.17;4944.82;5617.99;20104.21;27.94;699.45;1;1160.75;10;1263.39;561.5;296
CAM0162;DISTRIBUCION;OP0005;Chasis;MERCEDES BENZ;ATEGO 1418;2-MEDIO;2012;10;21.5;8193.23;1637.29;9830.52;35426.2;27.75;547.95;10;2038.2;25;1073.36;275.92;299
CAM0163;DISTRIBUCION;OP0005;Chasis;MERCEDES BENZ;ATEGO 1418;2-MEDIO;2012;10;22.19;3614.26;2293.27;5907.53;19060.4;30.99;725.67;15;1800.39;25;854.7;352.15;293
CAM0164;DISTRIBUCION;OP0002;Chasis;MERCEDES BENZ;ATEGO 1418;2-MEDIO;2012;10;13.28;1894.9;1312.55;3358.39;8401.7;39.97;13088.91;42;2850.14;3;931.95;554.93;235
CAM0165;DISTRIBUCION;OP0002;Chasis;MERCEDES BENZ;ATEGO 1418;2-MEDIO;2012;10;16.72;2080.45;1661.73;3742.18;11137.82;33.6;3052.1;35;866.81;2;1092.6;532.5;292
CAM0166;DISTRIBUCION;OP0004;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2013;9;16.81;4286.14;1497.34;5783.48;18363.73;31.49;1997.65;22;634.09;2;1188.61;500.86;276
CAM0167;DISTRIBUCION;OP0014;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2013;9;29.62;5791.68;3474.71;9266.39;52559.78;17.63;3385.8;7;1481.84;19;1471.3;436.54;308
CAM0168;DISTRIBUCION;OP0015;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2013;9;27.44;5712.55;3389.01;9101.56;38978.06;23.35;2389.37;21;2155.4;8;802.73;37.67;211
CAM0169;DISTRIBUCION;OP0009;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2013;9;27.82;5871.96;4737.79;10609.75;35733.87;29.69;2085.32;16;749.71;4;619.15;50.29;290
